index,text_a,text_b,preferred_text
471,5f0991c918a97fb93b0c0f8ab0fee43d68cef04d6467ca32e1e631172487ba1c,80eb12df4333107f771ffd96329a455aaf044e0db93cad9f9e630981b8dd43df,text_a
92,41912029f4465541cb07d97913ce65cb53645845292217b6fdcebc9fcdc1213c,914bdee5da885ba17ef36edcd5edd1842ae8c5aa5e9724f10f8c7f89bff8646d,text_a
488,f91ed436344c69ba4ad3fb6d38bde69c5026e256896adf1a8afcb2ac24686386,4401644f0f0c1ea288327d0656a3c03a4698f6ceba95dbcd3c3372dbff52f6d4,text_a
203,43f4080932c04cdf81a916b67294d39ac324b7e17c74359134e077fe1f9f85d4,a48605941d3c678e02319886c9a9ea811a290e5336ccdb2498b3a689d7a552e1,text_a
139,5368dbde4ca3ec5ac62d638ddee6ccd5cb0acad5cbb9e6ff19e5bb9b050e9980,3b8875a23d28de5f1d14302557700b5053354f1083e4d2a793479e5966f07852,text_a
513,9185d7692b84cd24cbf43f43102120e6c89661897a692693c6d9ade50763952b,95054f2fef46403f15ecd13e690a57ccb413a7be094470d5f5327139ce1251bc,text_b
491,d597ce0331deb64e692487493cb2bc1692497fef177b772268307914ab77a2a8,d72281a62175fde194cf1a3b91427b2a2a14d11dafcee07a32e814debf2872f2,text_b
164,76caf4a5b4ae44a84bae8f0267bc9a60b5fc91b298887233727cf8cc32362921,4fe1e9b4ae3acce1214cd9db7a10b3aabe30c4ef4353302c4a5453f0f1a31482,text_a
83,f43e3b17f534b81bfd07c47e1ad87482d64467edc714485976afd5c5149ca487,239e4aa796a1217353fd30cf2734354eca9b44ebe8e3fcb1d4c75199c13d356a,text_a
587,738f6b751a8b28d6795deaa9c5f5c10c6038b452b6c3844bec24210e41c8b4d9,a8fff16eae6ce0980d0185d542611840f4a035d6bed9221bbb14535191b2c398,text_a
12,751967019b8dfcd0d0996360727cf8c273658cc4fe2c39a7e95b2f3dbedf2d12,e66d52c12842b479b945cfa58d678ea7f46fd605cbbc2fdf752e6f78c78da296,text_b
255,9c85320a1ecef04c794bb6836e2e5795e081d1d4ab057cbdd0090b85056c8556,9e990558b0a732bcdc473ba4dbf42b26686b5530a46d46136c4dd64245297e9a,text_a
528,00bd53817121c31b76f793c3bfcc6abe1dbf44e2c954dd46145c0858bad39c76,5863dc82dcb6ad7ea93c608f4797c22a56b4cde7777330b5dc1e58b5f6203128,text_a
115,2a7db152ae8f6ab63cb9ba994eebc3525f14e993b6166798236148d6f87e8496,6d556f052f00e1e3e3d635cad95d1a401d2f0ed16cfdb072c64a61abb44ec18e,text_b
629,7db1018b021ee895fd27d485a6f3d8a85ac7de872172192d663501f4f2eb36ed,907cac2cf877813df2805337a6e621ce65b120254bb42a2375783e0660b1e76f,text_a
545,7873aae58a7136a7d95f799f8b23b5975a357b279e534d132ec2df1c1743b212,5b88243781f6fa5e1aef6263da4b16bd7cd005606ec754a99f3d9cb09d85e9a1,text_a
643,ba7c0bc0517a7abec031f35662d466ead07387ad604ceacf81b634e4fb614ed4,c665ee4a9b1e71946e4a03d87ecf04dabdfaf025f3c60f0931fd9668ae535cfb,text_a
37,a2d7a6ca473cac5111cf087123d829a75ff0875f65de8f6cf0df3d828aebb787,ec5d37d7778a0cc02963ee910359056a0df52887b082b29f5efede8ee2d1e375,text_a
413,055454dabedacfe79b5160746050109d10ceea8ab630757ae3f2c19f7eeebbc4,26dad2af9e2d1664cffa49eb7896d57cd9b9a8ef6888613151fafc7eb0d3f5b0,text_a
533,450fa21a51291a727c41b694150059e8237e268a20c315157f952aefa4a2ded6,0eb6c95caf425d2ce3f26ad03ee3c27239d84b9e5df2c67009cdbad694c9e46a,text_a
636,37ae65e4971be8074710e69ab0d81476b8b8d1110d0a7a0c73b6aba68e737bfe,bc61cdcd53968e70086afd3f58a40f6bc369e8ea21493566c595067ee843e05e,text_b
638,2848c79a03604b263847b5f35b347e0fc0409ed08322344e503cedaf0532a7f0,fd76fa2ddddb49f7c513f614ad99110f56fd342aa03f27642dc630ec853a6429,text_b
362,4a1c6d9a2a7558a6ba617197cda7c86340c42d887b9631c06a3b5de417a0bb73,c3709cd846b222abf0ba90a67180806bb51d21895057c94031d6911e4576c125,text_a
462,3a7dab8c27a6286857cc6f9626ba9647bac22da31dd1136839badb46944a3444,60b0b277cf15a6db34ff7fb0e896cdd7bedeed367bcdbd2a2b702e6eb733790a,text_b
96,2af07643e3bdd5e8049d23860c512d5aa847ae3b3596f5d597384cdee0ca01b7,a319c83c0900c21c4c129537cda2256c70eb4fbe919f009832e64d852f5560bf,text_a
600,76c40bc2a60dfef64e1a20a59232b1b0c85905083ca2ae05b1cf4e86d899add9,9e346bbe269005dbcb5ecf27cdf189d992482612378254772b9c5b6749fc0039,text_a
645,97d32ca6c8482e13be556e020ddf4ac9fec21108f7af56df10fc1b347d7d4c6b,06161eeaf69603098b083acaff99da725607c9d0d61a435a6140e4b715ab7d27,text_a
279,14b51a2dfee831ef3ffd6b34355f4f1550ee2ed457b179178d97af3af3d186e0,dc7d4c72b4ff428301e73242a72365af302bf4983145dbedf180cba0af973a48,text_b
135,5fe5fde869288ba073c3081d0ef277e4b5569c48b4712479a60bbd56b5a5c13d,e4f1069f5dca7bb4075fc4dd727246d5f604ee15b13c37584705f59dd926e59d,text_b
436,50ee04496546ece62dcd7c225bda8208910daab8e29cfb364e7d1ecc281de23d,f1c98c2b65098efcd081e2d879327eea6b0dfebd6559f45d44c5b6a6cc74e9b7,text_b
520,027bb81495668edd7e31dd079e594b208c26190b3d23d40214a51b69481c70ee,498165a6c331af722307cc81515b655e288978c0904890f5816a2494cbd8629e,text_b
438,15bf09bb849ca47d5bf2e6a9068f188f195e6220d5dd16f91e463db2431620e6,cc831ff2b4186baa5ab1acc7c98420315ac684def8597c129af476c534491f18,text_b
575,c3355b613343cda22f79e3bd7ec63a2b88249af9a9c3a9ee9ea8f10c0ae2cd64,bcc8066a2bff8be30db651fb2a460110d35cce4ed6ec4af7fbaecf533b10eb3f,text_b
226,10fcd0078e23df893099b5d02f5eece05bcab23e2a808d867e7263ea7a309d7e,6f3d84f6b9b73596dce9f0c83a60abd97227f82faa38fabe5117239ed5d8bf10,text_b
4,da92ae8e8de1fb27bbf8008d966a681b68f78bb638429f1d0dc165871d417aa2,02a3cac03f3b60ff781217ecf0372c1c5982b6b5ab90d0c6fb0ff965a845b4bb,text_b
435,577f68b9e25f01b54f6d393c26279d8aad3e4fd6cc4a1baa7a95547a8f9fb6f9,3b80bc42d91e91161ff1cccf12d435b8d9002489ecde9d698aa61644247365a1,text_b
534,aab859576de327b87e2897eefe5b863254ea2bb13877ef127561408e5541ae73,39b20d858429a149a33da4593dd87211b0780d1b625ea4ed6e2526d79a920e6d,text_a
85,e2d93f52c563519d308b135757b88add9a70a09de46a56fc412d6876918e2742,df553ad27074debdc63b31a53820baffff21bb766e473b71210e30655f6d3523,text_b
276,44cdcb23928f69961077f90399031cb4bae183c491341f6eda7e5a5e91b18d74,3ef0c8e98f3598342e8620aa273200a00fa167cda97b8b6188166c298f7b12cc,text_a
78,64c12f6cf5a472b42777291687b60d5f0e59057daddffb89bb50ddbc77d8b6d0,4216942719dc05c07226bae0b949ae7995f4155d55fbe00032dedf30db2be2bb,text_b
566,a6917949c5eadd03369f25d175a597bce21324856ea408a1e5a30642f06f457e,57fa37a1355a2d43653867cf8652c8a895b40575854baa27b3dbaa52f07f50bc,text_a
125,0196ade6421847156f222fabffd9d5bbf010eb12a534603dd5d06b55e172b702,2a3b4da56051ab5866c0495baf855364209b45ccc691bd1ca585e1983c0d69b8,text_b
630,6fca0344786a6b2b7180b9933a86eea60003294c9687608e1e0c015fb03a7903,906c944e21c328c567cfc5946b54e1f1d976c5f96c24ccc524733b714b91c18d,text_a
